State Name,Informasi Umum
Afghanistan,Afghanistan YA TIDAK
Albania,Albania YA TIDAK
Algeria,Algeria Mempertimbangkan YA
Andorra,Andorra YA TIDAK
Angola,Angola YA TIDAK
Antigua and Barbuda,Antigua and Barbuda Mempertimbangkan TIDAK
Argentina,Argentina Mempertimbangkan YA
Armenia,Armenia Mempertimbangkan TIDAK
Australia,Australia YA YA
Austria,Austria YA TIDAK
Azerbaijan,Azerbaijan Mempertimbangkan TIDAK
Bahamas,Bahamas Mempertimbangkan YA
Bahrain,Bahrain Mempertimbangkan YA
Bangladesh,Bangladesh YA YA
Barbados,Barbados Mempertimbangkan TIDAK
Belarus,Belarus Mempertimbangkan TIDAK
Belgium,Belgium YA YA
Belize,Belize Mempertimbangkan TIDAK
Benin,Benin Mempertimbangkan TIDAK
Bhutan,Bhutan Mempertimbangkan TIDAK
Bolivia (Plurinational State of),Bolivia (Plurinational State of) Mempertimbangkan YA
Bosnia and Herzegovina,Bosnia and Herzegovina Mempertimbangkan YA
Botswana,Botswana YA YA
Brazil,Brazil YA TIDAK
Brunei Darussalam,Brunei Darussalam Mempertimbangkan YA
Bulgaria,Bulgaria Mempertimbangkan YA
Burkina Faso,Burkina Faso Mempertimbangkan YA
Burundi,Burundi Mempertimbangkan TIDAK
Cambodia,Cambodia YA YA
Cameroon,Cameroon Mempertimbangkan YA
Canada,Canada YA TIDAK
C,Cape Verde YA TIDAK
Central African Republic,Central African Republic Mempertimbangkan TIDAK
Chad,Chad YA TIDAK
Chile,Chile YA YA
China,China YA YA
Colombia,Colombia Mempertimbangkan YA
Comoros,Comoros Mempertimbangkan TIDAK
Congo,Congo Mempertimbangkan YA
Cook Islands,Cook Islands Mempertimbangkan TIDAK
Costa Rica,Costa Rica Mempertimbangkan YA
C,Côte d’Ivoire YA TIDAK
Croatia,Croatia Mempertimbangkan YA
Cuba,Cuba Mempertimbangkan YA
Cyprus,Cyprus Mempertimbangkan TIDAK
C,Czech Republic YA YA
